Filename,,,,,,,Peak rating value position,,,,,,Mu,Sigma,FminsearchFVAL,ExitFlag,Iterations,,uglified,uglified_orig,auto-uglified,auto-uglified_orig,beautified,beautified_orig,unmodified
1.jpg,8,12,17,24,39,,0,0,0,0,1,,"4,880246","1,630543","0,281814",1,35,,0,1,0,0,0,0,1
1_uglifier.jpg,60,17,9,6,8,,1,0,0,0,0,,"0,92629","0,760956","0,276803",1,48,,1,0,0,0,0,0,0
10.jpg,7,8,11,22,52,,0,0,0,0,1,,"5,256051","1,170971","0,275673",1,41,,0,1,0,0,0,0,1
10_uglifier.jpg,42,17,15,11,15,,1,0,0,0,0,,"1,011514","1,502774","0,378121",1,42,,1,0,0,0,0,0,0
100.jpg,6,11,28,20,35,,0,0,0,0,1,,"4,261211","1,50291","0,303815",1,30,,0,1,0,0,0,0,1
100_uglifier.jpg,25,20,15,17,23,,1,0,0,0,0,,"2,707313","1,870212","0,369516",1,33,,1,0,0,0,0,0,0
1000.jpg,5,10,6,19,60,,0,0,0,0,1,,"4,795443","0,500001","0,261052",1,61,,0,1,0,0,0,0,1
1000_uglifier.jpg,37,26,15,7,15,,1,0,0,0,0,,"1,352138","1,359717","0,314287",1,36,,1,0,0,0,0,0,0
1001.jpg,7,12,23,28,30,,0,0,0,0,1,,"4,302547","1,664153","0,211754",1,33,,0,0,0,0,0,1,1
1001_uglifier.jpg,13,10,22,21,34,,0,0,0,0,1,,"4,385584","1,632993","0,313528",1,35,,0,0,0,0,1,0,0
1002.jpg,12,25,22,15,26,,0,0,0,0,1,,"3,229427","1,650416","0,327244",1,32,,0,0,0,0,0,1,1
1002_uglifier.jpg,13,19,27,14,27,,-1,,,,,,"3,379849","1,610514","0,326655",1,30,,0,0,0,0,1,0,0
1003.jpg,6,6,22,26,40,,0,0,0,0,1,,"4,763273","1,454038","0,25025",1,36,,0,0,0,0,0,1,1
1003_uglifier.jpg,9,8,22,27,34,,0,0,0,0,1,,"4,464981","1,512053","0,247502",1,36,,0,0,0,0,1,0,0
1004.jpg,5,7,20,26,42,,0,0,0,0,1,,"4,954394","1,500479","0,243721",1,38,,0,0,0,0,0,1,1
1004_uglifier.jpg,8,7,18,21,46,,0,0,0,0,1,,"5,161784","1,434395","0,299683",1,39,,0,0,0,0,1,0,0
1005.jpg,6,7,8,27,52,,0,0,0,0,1,,"5,032378","1,015511","0,231786",1,37,,0,0,0,0,0,1,1
1005_uglifier.jpg,7,6,16,24,47,,0,0,0,0,1,,"5,18795","1,383175","0,264818",1,41,,0,0,0,0,1,0,0
1006.jpg,26,30,24,7,13,,0,1,0,0,0,,"2,004704","1,30319","0,258208",1,30,,0,0,0,0,0,1,1
1006_uglifier.jpg,18,30,32,7,13,,0,0,1,0,0,,"2,393511","1,088556","0,249968",1,32,,0,0,0,0,1,0,0
1007.jpg,11,22,27,19,21,,0,0,1,0,0,,"3,230396","1,566212","0,248511",1,31,,0,0,0,0,0,1,1
1007_uglifier.jpg,15,11,24,28,22,,0,0,0,1,0,,"3,734755","1,478204","0,263736",1,28,,0,0,0,0,1,0,0
1008.jpg,11,18,25,25,21,,-1,,,,,,"3,587695","1,797452","0,206795",1,33,,0,0,0,0,0,1,1
1008_uglifier.jpg,15,20,28,23,14,,0,0,1,0,0,,"3,049897","1,560001","0,201965",1,30,,0,0,0,0,1,0,0
1009.jpg,11,12,28,26,23,,0,0,1,0,0,,"3,709997","1,449185","0,231464",1,30,,0,0,0,0,0,1,1
1009_uglifier.jpg,10,8,21,33,28,,0,0,0,1,0,,"4,138777","1,270968","0,227164",1,32,,0,0,0,0,1,0,0
101.jpg,19,25,23,13,20,,0,1,0,0,0,,"2,626775","1,636398","0,29857",1,29,,0,1,0,0,0,0,1
101_uglifier.jpg,19,13,36,15,17,,0,0,1,0,0,,"3,008561","1,280614","0,321591",1,25,,1,0,0,0,0,0,0
1010.jpg,9,26,23,20,22,,0,1,0,0,0,,"3,249375","1,562857","0,274618",1,31,,0,0,0,0,0,1,1
1010_uglifier.jpg,7,25,24,17,27,,0,0,0,0,1,,"3,4477","1,558665","0,316588",1,34,,0,0,0,0,1,0,0
1011.jpg,12,22,27,20,19,,0,0,1,0,0,,"3,164275","1,590059","0,228476",1,32,,0,0,0,0,0,1,1
1011_uglifier.jpg,18,22,22,22,16,,-1,,,,,,"2,913458","1,85544","0,242559",1,31,,0,0,0,0,1,0,0
1012.jpg,12,12,29,17,30,,0,0,0,0,1,,"3,827291","1,542603","0,3263",1,32,,0,0,0,0,0,0,1
1013.jpg,5,15,32,20,28,,0,0,1,0,0,,"3,707979","1,380705","0,282822",1,30,,0,0,0,0,0,1,1
1013_uglifier.jpg,11,17,25,18,29,,0,0,0,0,1,,"3,788653","1,680767","0,302767",1,31,,0,0,0,0,1,0,0
1014_uglifier.jpg,13,18,27,22,20,,0,0,1,0,0,,"3,354302","1,650798","0,228602",1,30,,0,0,0,0,1,0,0
1015.jpg,10,17,24,24,25,,0,0,0,0,1,,"3,81291","1,767709","0,232991",1,32,,0,0,0,0,0,1,1
1015_uglifier.jpg,13,23,19,23,22,,-1,,,,,,"3,388743","1,765539","0,275809",1,31,,0,0,0,0,1,0,0
1016.jpg,10,17,23,23,27,,0,0,0,0,1,,"3,910454","1,771376","0,253026",1,33,,0,0,0,0,0,0,1
1017.jpg,24,30,19,17,10,,0,1,0,0,0,,"2,107182","1,596815","0,245094",1,30,,0,0,0,0,0,1,1
1017_uglifier.jpg,22,32,19,17,10,,0,1,0,0,0,,"2,191792","1,479669","0,247277",1,27,,0,0,0,0,1,0,0
1018.jpg,26,18,27,17,12,,0,0,1,0,0,,"2,443415","1,626759","0,288896",1,31,,0,0,0,0,0,1,1
1018_uglifier.jpg,23,21,21,21,14,,1,0,0,0,0,,"2,58732","1,829139","0,272204",1,34,,0,0,0,0,1,0,0
1019.jpg,11,17,33,22,17,,0,0,1,0,0,,"3,242522","1,309266","0,218796",1,25,,0,0,0,0,0,1,1
1019_uglifier.jpg,11,21,27,19,22,,0,0,1,0,0,,"3,301686","1,584885","0,25417",1,28,,0,0,0,0,1,0,0
102.jpg,7,21,13,27,32,,0,0,0,0,1,,"4,321646","1,601777","0,317094",1,34,,0,1,0,0,0,0,1
102_uglifier.jpg,26,22,16,19,17,,1,0,0,0,0,,"2,356921","1,849827","0,32589",1,33,,1,0,0,0,0,0,0
1020.jpg,12,24,31,15,18,,0,0,1,0,0,,"2,908715","1,34311","0,254506",1,24,,0,0,0,0,0,1,1
1020_uglifier.jpg,14,23,25,23,15,,0,0,1,0,0,,"3,034392","1,724062","0,198517",1,33,,0,0,0,0,1,0,0
1021.jpg,10,18,24,18,30,,0,0,0,0,1,,"3,859623","1,692418","0,307373",1,33,,0,0,0,0,0,1,1
1021_uglifier.jpg,9,18,27,23,23,,0,0,1,0,0,,"3,584353","1,596508","0,22503",1,32,,0,0,0,0,1,0,0
1022.jpg,10,17,25,24,24,,0,0,1,0,0,,"3,732288","1,726874","0,225997",1,33,,0,0,0,0,0,1,1
1022_uglifier.jpg,15,12,22,33,18,,0,0,0,1,0,,"3,676529","1,302095","0,269573",1,30,,0,0,0,0,1,0,0
1023.jpg,9,20,30,14,27,,0,0,1,0,0,,"3,376869","1,470928","0,322929",1,27,,0,0,0,0,0,1,1
1023_uglifier.jpg,19,17,26,19,19,,0,0,1,0,0,,"3,066406","1,701343","0,277126",1,33,,0,0,0,0,1,0,0
1024.jpg,4,6,10,15,65,,0,0,0,0,1,,"4,872112","0,500001","0,254079",1,66,,0,0,0,0,0,1,1
1024_uglifier.jpg,7,11,5,27,50,,0,0,0,0,1,,"4,845988","0,847547","0,268661",1,34,,0,0,0,0,1,0,0
1025.jpg,1,6,17,29,47,,0,0,0,0,1,,"5,214656","1,442368","0,202097",1,40,,0,0,0,0,0,1,1
1025_uglifier.jpg,10,4,18,27,41,,0,0,0,0,1,,"4,789133","1,325809","0,264186",1,38,,0,0,0,0,1,0,0
1026.jpg,21,23,22,15,19,,0,1,0,0,0,,"2,61603","1,763827","0,291559",1,32,,0,0,0,0,0,1,1
1026_uglifier.jpg,22,14,28,14,22,,0,0,1,0,0,,"3,000004","1,619883","0,345918",1,30,,0,0,0,0,1,0,0
1027.jpg,7,5,21,25,42,,0,0,0,0,1,,"4,869586","1,425865","0,263992",1,40,,0,0,0,0,0,1,1
1027_uglifier.jpg,9,6,23,17,45,,0,0,0,0,1,,"5,012444","1,445762","0,348964",1,42,,0,0,0,0,1,0,0
1028.jpg,4,4,19,26,47,,0,0,0,0,1,,"5,118316","1,37705","0,240372",1,38,,0,0,0,0,0,1,1
1028_uglifier.jpg,7,2,19,28,44,,0,0,0,0,1,,"4,868917","1,27919","0,24068",1,37,,0,0,0,0,1,0,0
1029.jpg,1,4,22,26,47,,0,0,0,0,1,,"5,016582","1,346307","0,250357",1,33,,0,0,0,0,0,1,1
1029_uglifier.jpg,7,3,18,32,40,,0,0,0,0,1,,"4,646768","1,214282","0,211478",1,37,,0,0,0,0,1,0,0
103.jpg,6,7,28,25,34,,0,0,0,0,1,,"4,269661","1,385086","0,263579",1,32,,0,1,0,0,0,0,1
103_uglifier.jpg,10,9,16,28,37,,0,0,0,0,1,,"4,702673","1,472734","0,262981",1,38,,1,0,0,0,0,0,0
1030.jpg,16,19,21,20,24,,0,0,0,0,1,,"3,435848","1,851496","0,290085",1,30,,0,0,0,0,0,1,1
1030_uglifier.jpg,22,17,22,16,23,,0,0,0,0,1,,"3,011828","1,806855","0,335318",1,31,,0,0,0,0,1,0,0
1031.jpg,17,16,20,22,25,,0,0,0,0,1,,"3,648377","1,8331","0,300039",1,34,,0,0,0,0,0,1,1
1031_uglifier.jpg,15,17,19,23,26,,0,0,0,0,1,,"3,79232","1,841033","0,291551",1,33,,0,0,0,0,1,0,0
1032.jpg,31,30,19,9,11,,1,0,0,0,0,,"1,670801","1,443094","0,25029",1,33,,0,0,0,0,0,1,1
1032_uglifier.jpg,28,24,20,17,11,,1,0,0,0,0,,"1,959068","1,817213","0,267235",1,30,,0,0,0,0,1,0,0
1033.jpg,12,17,32,19,20,,0,0,1,0,0,,"3,25288","1,397598","0,254597",1,27,,0,0,0,0,0,1,1
1033_uglifier.jpg,18,23,20,23,16,,-1,,,,,,"2,914913","1,793905","0,258612",1,31,,0,0,0,0,1,0,0
1034.jpg,4,18,24,19,35,,0,0,0,0,1,,"4,246684","1,601096","0,317469",1,37,,0,0,0,0,0,1,1
1034_uglifier.jpg,6,15,31,17,31,,-1,,,,,,"3,813189","1,45607","0,320067",1,29,,0,0,0,0,1,0,0
1035.jpg,30,32,19,11,8,,0,1,0,0,0,,"1,710791","1,446141","0,220367",1,30,,0,0,0,0,0,1,1
1035_uglifier.jpg,26,21,26,12,15,,-1,,,,,,"2,265461","1,620804","0,293697",1,28,,0,0,0,0,1,0,0
1036.jpg,62,20,11,4,3,,1,0,0,0,0,,"0,628661","0,984045","0,232844",1,38,,0,0,0,0,0,1,1
1036_uglifier.jpg,43,24,17,6,10,,1,0,0,0,0,,"1,023622","1,404899","0,284731",1,32,,0,0,0,0,1,0,0
1037.jpg,10,17,31,14,28,,0,0,1,0,0,,"3,480716","1,475661","0,33156",1,28,,0,0,0,0,0,1,1
1037_uglifier.jpg,5,21,26,22,26,,-1,,,,,,"3,661922","1,520862","0,260009",1,30,,0,0,0,0,1,0,0
1038.jpg,21,17,30,14,18,,0,0,1,0,0,,"2,804125","1,525886","0,306621",1,26,,0,0,0,0,0,1,1
1038_uglifier.jpg,10,20,29,17,24,,0,0,1,0,0,,"3,341311","1,504383","0,280785",1,28,,0,0,0,0,1,0,0
1039.jpg,18,20,34,14,14,,0,0,1,0,0,,"2,762247","1,300909","0,265027",1,26,,0,0,0,0,0,1,1
1039_uglifier.jpg,13,16,34,21,16,,0,0,1,0,0,,"3,179202","1,278078","0,236647",1,26,,0,0,0,0,1,0,0
104.jpg,10,26,31,12,21,,0,0,1,0,0,,"2,87262","1,272339","0,297098",1,27,,0,1,0,0,0,0,1
104_uglifier.jpg,16,21,21,18,24,,0,0,0,0,1,,"3,277119","1,815618","0,300624",1,34,,1,0,0,0,0,0,0
1040.jpg,32,24,19,11,14,,1,0,0,0,0,,"1,647198","1,662878","0,300823",1,32,,0,0,0,0,0,1,1
1040_uglifier.jpg,21,29,22,11,17,,0,1,0,0,0,,"2,291754","1,47555","0,285908",1,30,,0,0,0,0,1,0,0
1041.jpg,29,33,25,6,7,,0,1,0,0,0,,"1,88189","1,214421","0,199654",1,27,,0,0,0,0,0,0,1
1042.jpg,9,12,23,20,36,,0,0,0,0,1,,"4,482419","1,641162","0,306749",1,35,,0,0,0,0,0,0,1
1043.jpg,5,9,20,20,46,,0,0,0,0,1,,"5,158886","1,48704","0,305697",1,42,,0,0,0,0,0,1,1
1043_uglifier.jpg,7,10,26,15,42,,0,0,0,0,1,,"4,729214","1,528935","0,36614",1,32,,0,0,0,0,1,0,0
1044.jpg,15,8,24,18,35,,0,0,0,0,1,,"4,343257","1,574213","0,353202",1,32,,0,0,0,0,0,1,1
1044_uglifier.jpg,13,13,21,17,36,,0,0,0,0,1,,"4,425683","1,69535","0,350606",1,36,,0,0,0,0,1,0,0
1045.jpg,23,32,20,16,9,,0,1,0,0,0,,"2,12935","1,471817","0,23128",1,27,,0,0,0,0,0,1,1
1045_uglifier.jpg,23,25,24,11,17,,0,1,0,0,0,,"2,309706","1,577661","0,288326",1,28,,0,0,0,0,1,0,0
1046.jpg,1,4,4,18,73,,0,0,0,0,1,,"4,922411","0,500002","0,15325",1,62,,0,0,0,0,0,1,1
1046_uglifier.jpg,3,6,13,22,56,,0,0,0,0,1,,"5,442703","1,204185","0,248241",1,42,,0,0,0,0,1,0,0
1047.jpg,8,18,26,17,31,,0,0,0,0,1,,"3,861186","1,613811","0,316949",1,32,,0,0,0,0,0,1,1
1047_uglifier.jpg,10,16,22,25,27,,0,0,0,0,1,,"4,030753","1,81384","0,241263",1,34,,0,0,0,0,1,0,0
1048.jpg,15,19,25,12,29,,0,0,0,0,1,,"3,383571","1,671857","0,359755",1,30,,0,0,0,0,0,1,1
1048_uglifier.jpg,5,21,27,19,28,,0,0,0,0,1,,"3,660712","1,51282","0,292332",1,31,,0,0,0,0,1,0,0
1049.jpg,19,14,20,22,25,,0,0,0,0,1,,"3,642565","1,789332","0,318785",1,32,,0,0,0,0,0,1,1
1049_uglifier.jpg,12,12,19,29,28,,0,0,0,1,0,,"4,166121","1,58097","0,258343",1,35,,0,0,0,0,1,0,0
105.jpg,29,24,31,8,8,,0,0,1,0,0,,"2,065756","1,332952","0,270357",1,29,,0,1,0,0,0,0,1
105_uglifier.jpg,45,16,18,12,9,,1,0,0,0,0,,"0,857241","1,519485","0,358978",1,37,,1,0,0,0,0,0,0
1050.jpg,3,15,27,24,31,,0,0,0,0,1,,"4,070569","1,487441","0,252803",1,29,,0,0,0,0,0,1,1
1050_uglifier.jpg,7,12,25,29,27,,0,0,0,1,0,,"4,057576","1,536709","0,196124",1,33,,0,0,0,0,1,0,0
1051.jpg,20,25,24,11,20,,0,1,0,0,0,,"2,522617","1,569659","0,307727",1,28,,0,0,0,0,0,1,1
1051_uglifier.jpg,21,21,22,20,16,,0,0,1,0,0,,"2,732785","1,865615","0,263023",1,33,,0,0,0,0,1,0,0
1052.jpg,8,13,27,21,31,,0,0,0,0,1,,"4,053122","1,564931","0,280516",1,32,,0,0,0,0,0,1,1
1052_uglifier.jpg,6,13,22,32,27,,0,0,0,1,0,,"4,110704","1,488387","0,189939",1,35,,0,0,0,0,1,0,0
1053.jpg,8,12,23,24,33,,0,0,0,0,1,,"4,385339","1,657115","0,258672",1,36,,0,0,0,0,0,1,1
1053_uglifier.jpg,5,14,23,29,29,,-1,,,,,,"4,250854","1,669358","0,195801",1,36,,0,0,0,0,1,0,0
1054.jpg,4,12,21,35,28,,0,0,0,1,0,,"4,135278","1,304243","0,183285",1,42,,0,0,0,0,0,1,1
1054_uglifier.jpg,6,15,25,30,24,,0,0,0,1,0,,"3,917837","1,581464","0,170651",1,35,,0,0,0,0,1,0,0
1055.jpg,11,16,30,22,21,,0,0,1,0,0,,"3,431903","1,465956","0,234885",1,28,,0,0,0,0,0,1,1
1055_uglifier.jpg,12,18,27,24,19,,0,0,1,0,0,,"3,391913","1,639199","0,206684",1,34,,0,0,0,0,1,0,0
1056.jpg,7,20,41,15,17,,0,0,1,0,0,,"2,993918","0,972763","0,262578",1,31,,0,0,0,0,0,1,1
1056_uglifier.jpg,8,17,30,20,25,,0,0,1,0,0,,"3,559031","1,464262","0,262747",1,29,,0,0,0,0,1,0,0
1057.jpg,6,14,32,25,23,,0,0,1,0,0,,"3,613989","1,307118","0,219468",1,29,,0,0,0,0,0,1,1
1057_uglifier.jpg,12,14,22,30,22,,0,0,0,1,0,,"3,783962","1,524357","0,235403",1,33,,0,0,0,0,1,0,0
1058.jpg,4,6,28,27,35,,0,0,0,0,1,,"4,312015","1,326375","0,248276",1,33,,0,0,0,0,0,1,1
1058_uglifier.jpg,6,14,23,28,29,,0,0,0,0,1,,"4,26047","1,722552","0,204859",1,37,,0,0,0,0,1,0,0
1059.jpg,26,19,26,14,15,,-1,,,,,,"2,372383","1,665106","0,299764",1,28,,0,0,0,0,0,0,1
106.jpg,16,33,25,11,15,,0,1,0,0,0,,"2,394364","1,208739","0,261549",1,31,,0,1,0,0,0,0,1
106_uglifier.jpg,39,25,19,8,9,,1,0,0,0,0,,"1,189982","1,533429","0,269638",1,32,,1,0,0,0,0,0,0
1060.jpg,11,21,29,18,21,,0,0,1,0,0,,"3,206486","1,494573","0,254603",1,29,,0,0,0,0,0,1,1
1060_uglifier.jpg,6,23,25,25,21,,-1,,,,,,"3,462123","1,483973","0,227765",1,30,,0,0,0,0,1,0,0
1061.jpg,13,27,31,10,19,,0,0,1,0,0,,"2,680023","1,221813","0,290883",1,30,,0,0,0,0,0,1,1
1061_uglifier.jpg,14,17,27,20,22,,0,0,1,0,0,,"3,382592","1,647947","0,259704",1,29,,0,0,0,0,1,0,0
1062.jpg,28,22,25,9,16,,1,0,0,0,0,,"2,067599","1,564239","0,312035",1,28,,0,0,0,0,0,1,1
1062_uglifier.jpg,22,24,23,11,20,,0,1,0,0,0,,"2,443436","1,626126","0,315153",1,26,,0,0,0,0,1,0,0
1063.jpg,9,16,32,21,22,,0,0,1,0,0,,"3,436536","1,374063","0,245728",1,28,,0,0,0,0,0,1,1
1063_uglifier.jpg,11,22,29,16,22,,0,0,1,0,0,,"3,150967","1,475069","0,276087",1,28,,0,0,0,0,1,0,0
1064.jpg,9,19,32,18,22,,0,0,1,0,0,,"3,289787","1,376392","0,263651",1,27,,0,0,0,0,0,1,1
1064_uglifier.jpg,15,14,29,14,28,,0,0,1,0,0,,"3,515241","1,575455","0,346261",1,27,,0,0,0,0,1,0,0
1065.jpg,7,8,15,25,45,,0,0,0,0,1,,"5,139012","1,432509","0,262201",1,40,,0,0,0,0,0,1,1
1065_uglifier.jpg,12,7,19,24,38,,0,0,0,0,1,,"4,707965","1,487472","0,296489",1,39,,0,0,0,0,1,0,0
1066.jpg,5,6,15,31,43,,0,0,0,0,1,,"4,922336","1,339356","0,202562",1,47,,0,0,0,0,0,1,1
1066_uglifier.jpg,5,10,15,37,33,,0,0,0,1,0,,"4,348291","1,114011","0,210684",1,32,,0,0,0,0,1,0,0
1067.jpg,3,5,31,21,40,,0,0,0,0,1,,"4,468017","1,345078","0,325427",1,35,,0,0,0,0,0,1,1
1067_uglifier.jpg,9,6,22,28,35,,0,0,0,0,1,,"4,478256","1,409849","0,246279",1,34,,0,0,0,0,1,0,0
1068.jpg,4,18,29,19,30,,0,0,0,0,1,,"3,801264","1,472969","0,297942",1,30,,0,0,0,0,0,1,1
1068_uglifier.jpg,13,25,16,23,23,,0,1,0,0,0,,"3,379511","1,728939","0,310744",1,31,,0,0,0,0,1,0,0
1069.jpg,11,7,23,25,34,,0,0,0,0,1,,"4,409414","1,485275","0,277105",1,34,,0,0,0,0,0,1,1
1069_uglifier.jpg,9,14,23,24,30,,0,0,0,0,1,,"4,188348","1,722416","0,252447",1,33,,0,0,0,0,1,0,0
107.jpg,2,6,11,20,61,,0,0,0,0,1,,"5,370327","1,003533","0,241316",1,40,,0,0,0,0,0,0,1
1070.jpg,6,5,16,19,54,,0,0,0,0,1,,"5,406047","1,233226","0,293173",1,40,,0,0,0,0,0,1,1
1070_uglifier.jpg,6,13,19,27,35,,0,0,0,0,1,,"4,670494","1,699639","0,240671",1,38,,0,0,0,0,1,0,0
